EVENT_DT,EVENT_EFFECTIVE_GMT_TS,SOURCE_CHANNEL_CD,SOURCE_EVENT_ID,SOURCE_EVENT_DESC_TXT,CORE_EVENT_TYPE_NM,CORE_EVENT_SUBTYPE_NM,CORE_EVENT_NM_NOUN_NM,ORIGINATING_CONTACT_POINT,DESTINATION_CONTACT_POINT,OTHER_ATTRIBUTES,RELATED_PRODUCT,COMMUNICATION_EVENT_ATTRIBUTES,CORE_EVENT_SUBTYPE_2_NM,CORE_EVENT_SUBTYPE_3_NM,POST_EVENT,CUSTOM_ATTRIBUTE
10/17/2024,4:57,www,bk-lending-cloe-fe-closing-11,pul_loan_app_post_bureau_decline,CSL,DEC,729,contact_point_6,contact_point_1,attribute_10,product_9,comm_event_8,PRC,OPEN CREDIT CARD ACCOUNT,App Complete,custom_attr_1
10/17/2024,10:20,iph,bk-auto-loan-app-12,pul_loan_app_post_bureau_decline,CSL,DEC,766,contact_point_3,contact_point_5,attribute_9,product_5,comm_event_5,PRC,APPLY FOR LOAN,App Complete,custom_attr_3
10/17/2024,23:55,www,bk-card-cco-apply-13,cco_approve_edit_card,CRC,DEC,627,contact_point_6,contact_point_1,attribute_9,product_1,comm_event_7,PRC,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_4
10/17/2024,12:00,mob,bk-card-cco-apply-14,pul_loan_app_post_bureau_decline,CRC,ACQ,645,contact_point_1,contact_point_4,attribute_6,product_10,comm_event_7,PRC,APPLY FOR LOAN,App Not Complete,custom_attr_5
10/17/2024,21:28,www,bk-lending-cloe-fe-closing-15,auto_loan_app_approved,CRC,ACQPL,677,contact_point_8,contact_point_4,attribute_5,product_7,comm_event_5,CLM,APPLY FOR CONSUMER LOAN,App Complete,custom_attr_10
10/17/2024,18:46,www,bk-auto-loan-app-16,pul_loan_app_post_bureau_decline,CRC,ACQ,651,contact_point_6,contact_point_10,attribute_9,product_10,comm_event_7,DEC,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_8
10/17/2024,21:27,iph,bk-card-cco-apply-17,cco_approve_edit_card,CRC,ACQ,790,contact_point_1,contact_point_5,attribute_4,product_2,comm_event_7,DEC,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_4
10/17/2024,14:39,mob,bk-lending-cloe-fe-closing-18,cco_approve_edit_card,ASL,ACQ,787,contact_point_8,contact_point_7,attribute_10,product_8,comm_event_7,CLM,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_2
10/17/2024,12:19,mob,bk-auto-loan-app-19,auto_loan_app_approved,CSL,ACQPL,656,contact_point_6,contact_point_4,attribute_4,product_4,comm_event_8,CLM,APPLY FOR LOAN,App Not Complete,custom_attr_7
10/17/2024,8:01,www,bk-lending-cloe-fe-closing-20,cco_approve_edit_card,CRC,DEC,749,contact_point_5,contact_point_9,attribute_8,product_7,comm_event_8,DEC,APPLY FOR LOAN,App Not Complete,custom_attr_6
10/17/2024,15:09,and,bk-lending-cloe-fe-closing-21,pul_loan_app_post_bureau_decline,CSL,DEC,695,contact_point_2,contact_point_5,attribute_4,product_3,comm_event_4,CLM,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_3
10/17/2024,4:04,iph,bk-card-cco-apply-22,cco_approve_edit_card,CSL,DEC,724,contact_point_1,contact_point_8,attribute_7,product_1,comm_event_2,DEC,OPEN CREDIT CARD ACCOUNT,App Complete,custom_attr_7
10/17/2024,19:08,mob,bk-auto-loan-app-23,cco_approve_edit_card,CSL,DEC,770,contact_point_10,contact_point_10,attribute_7,product_5,comm_event_7,PRC,APPLY FOR LOAN,App Not Complete,custom_attr_9
10/17/2024,23:19,and,bk-auto-loan-app-24,cco_approve_edit_card,CRC,ACQ,712,contact_point_7,contact_point_4,attribute_4,product_9,comm_event_9,PRC,APPLY FOR CONSUMER LOAN,App Complete,custom_attr_4
10/17/2024,22:44,www,bk-lending-cloe-fe-closing-25,cco_approve_edit_card,ASL,ACQ,783,contact_point_8,contact_point_10,attribute_7,product_7,comm_event_9,PRC,APPLY FOR LOAN,App Not Complete,custom_attr_10
10/17/2024,17:19,www,bk-card-cco-apply-26,cco_approve_edit_card,ASL,ACQPL,778,contact_point_10,contact_point_9,attribute_4,product_4,comm_event_1,PRC,APPLY FOR LOAN,App Not Complete,custom_attr_7
10/17/2024,2:45,and,bk-card-cco-apply-27,pul_loan_app_post_bureau_decline,CRC,DEC,771,contact_point_8,contact_point_7,attribute_6,product_6,comm_event_1,PRC,APPLY FOR LOAN,App Not Complete,custom_attr_1
10/17/2024,10:47,iph,bk-card-cco-apply-28,pul_loan_app_post_bureau_decline,CRC,ACQPL,610,contact_point_10,contact_point_4,attribute_8,product_8,comm_event_4,PRC,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_8
10/17/2024,10:14,mob,bk-card-cco-apply-29,auto_loan_app_approved,CRC,DEC,674,contact_point_6,contact_point_1,attribute_6,product_9,comm_event_5,CLM,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_7
10/17/2024,7:07,www,bk-auto-loan-app-30,auto_loan_app_approved,ASL,ACQ,712,contact_point_9,contact_point_4,attribute_6,product_6,comm_event_7,DEC,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_5
10/17/2024,0:10,iph,bk-auto-loan-app-31,auto_loan_app_approved,ASL,ACQ,770,contact_point_6,contact_point_7,attribute_6,product_4,comm_event_6,CLM,APPLY FOR CONSUMER LOAN,App Complete,custom_attr_4
10/17/2024,13:17,mob,bk-lending-cloe-fe-closing-32,cco_approve_edit_card,CSL,ACQPL,636,contact_point_7,contact_point_1,attribute_4,product_2,comm_event_7,CLM,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_7
10/17/2024,7:30,and,bk-auto-loan-app-33,pul_loan_app_post_bureau_decline,CSL,ACQ,750,contact_point_3,contact_point_6,attribute_5,product_3,comm_event_9,CLM,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_1
10/17/2024,10:47,iph,bk-lending-cloe-fe-closing-34,cco_approve_edit_card,ASL,ACQPL,668,contact_point_3,contact_point_8,attribute_2,product_4,comm_event_8,DEC,APPLY FOR LOAN,App Not Complete,custom_attr_1
10/17/2024,9:39,www,bk-auto-loan-app-35,cco_approve_edit_card,ASL,DEC,759,contact_point_4,contact_point_1,attribute_6,product_9,comm_event_8,PRC,APPLY FOR CONSUMER LOAN,App Complete,custom_attr_3
10/17/2024,0:06,mob,bk-card-cco-apply-36,pul_loan_app_post_bureau_decline,CRC,ACQPL,737,contact_point_2,contact_point_5,attribute_10,product_10,comm_event_3,CLM,APPLY FOR CONSUMER LOAN,App Complete,custom_attr_5
10/17/2024,18:31,mob,bk-lending-cloe-fe-closing-37,pul_loan_app_post_bureau_decline,ASL,ACQPL,645,contact_point_7,contact_point_5,attribute_7,product_3,comm_event_2,CLM,OPEN CREDIT CARD ACCOUNT,App Complete,custom_attr_8
10/17/2024,8:57,www,bk-card-cco-apply-38,cco_approve_edit_card,CSL,ACQPL,712,contact_point_2,contact_point_3,attribute_6,product_9,comm_event_4,CLM,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_3
10/17/2024,16:15,www,bk-auto-loan-app-39,pul_loan_app_post_bureau_decline,ASL,ACQPL,710,contact_point_7,contact_point_5,attribute_8,product_3,comm_event_2,CLM,APPLY FOR LOAN,App Complete,custom_attr_8
10/17/2024,7:39,mob,bk-card-cco-apply-40,cco_approve_edit_card,CRC,ACQPL,792,contact_point_5,contact_point_10,attribute_1,product_5,comm_event_9,DEC,APPLY FOR CONSUMER LOAN,App Complete,custom_attr_4
10/17/2024,4:17,mob,bk-auto-loan-app-41,pul_loan_app_post_bureau_decline,ASL,DEC,710,contact_point_8,contact_point_6,attribute_4,product_9,comm_event_2,PRC,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_1
10/17/2024,13:28,mob,bk-auto-loan-app-42,auto_loan_app_approved,ASL,DEC,718,contact_point_6,contact_point_7,attribute_2,product_3,comm_event_10,CLM,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_5
10/17/2024,5:17,mob,bk-lending-cloe-fe-closing-43,cco_approve_edit_card,ASL,DEC,758,contact_point_8,contact_point_2,attribute_8,product_2,comm_event_10,PRC,APPLY FOR LOAN,App Complete,custom_attr_3
10/17/2024,23:57,iph,bk-card-cco-apply-44,auto_loan_app_approved,ASL,DEC,706,contact_point_4,contact_point_1,attribute_10,product_1,comm_event_7,DEC,APPLY FOR LOAN,App Not Complete,custom_attr_7
10/17/2024,17:52,www,bk-lending-cloe-fe-closing-45,cco_approve_edit_card,ASL,ACQ,777,contact_point_4,contact_point_5,attribute_1,product_2,comm_event_10,PRC,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_1
10/17/2024,10:47,www,bk-card-cco-apply-46,auto_loan_app_approved,CRC,ACQ,747,contact_point_6,contact_point_7,attribute_9,product_2,comm_event_5,CLM,APPLY FOR LOAN,App Complete,custom_attr_5
10/17/2024,21:05,www,bk-lending-cloe-fe-closing-47,cco_approve_edit_card,CRC,ACQPL,665,contact_point_10,contact_point_6,attribute_5,product_10,comm_event_7,CLM,APPLY FOR CONSUMER LOAN,App Complete,custom_attr_4
10/17/2024,14:26,and,bk-auto-loan-app-48,auto_loan_app_approved,CSL,DEC,633,contact_point_6,contact_point_9,attribute_5,product_10,comm_event_9,PRC,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_2
10/17/2024,13:14,iph,bk-auto-loan-app-49,pul_loan_app_post_bureau_decline,CRC,ACQ,657,contact_point_10,contact_point_5,attribute_9,product_8,comm_event_6,DEC,OPEN CREDIT CARD ACCOUNT,App Complete,custom_attr_9
10/17/2024,14:54,mob,bk-lending-cloe-fe-closing-50,auto_loan_app_approved,CRC,ACQPL,692,contact_point_9,contact_point_2,attribute_8,product_6,comm_event_7,CLM,APPLY FOR LOAN,App Complete,custom_attr_8
10/17/2024,3:43,iph,bk-card-cco-apply-51,pul_loan_app_post_bureau_decline,ASL,DEC,641,contact_point_6,contact_point_9,attribute_3,product_10,comm_event_2,CLM,APPLY FOR LOAN,App Complete,custom_attr_4
10/17/2024,12:25,www,bk-lending-cloe-fe-closing-52,pul_loan_app_post_bureau_decline,CRC,ACQPL,643,contact_point_1,contact_point_9,attribute_4,product_10,comm_event_10,PRC,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_2
10/17/2024,22:07,mob,bk-lending-cloe-fe-closing-53,cco_approve_edit_card,ASL,DEC,741,contact_point_2,contact_point_3,attribute_6,product_4,comm_event_2,PRC,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_2
10/17/2024,5:24,iph,bk-card-cco-apply-54,cco_approve_edit_card,ASL,DEC,793,contact_point_4,contact_point_10,attribute_4,product_7,comm_event_7,CLM,APPLY FOR CONSUMER LOAN,App Complete,custom_attr_2
10/17/2024,3:11,mob,bk-card-cco-apply-55,pul_loan_app_post_bureau_decline,CSL,ACQPL,695,contact_point_9,contact_point_6,attribute_4,product_5,comm_event_6,PRC,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_9
10/17/2024,19:55,www,bk-card-cco-apply-56,auto_loan_app_approved,ASL,ACQPL,670,contact_point_5,contact_point_9,attribute_4,product_5,comm_event_10,DEC,OPEN CREDIT CARD ACCOUNT,App Complete,custom_attr_10
10/17/2024,14:17,iph,bk-card-cco-apply-57,pul_loan_app_post_bureau_decline,CSL,ACQPL,731,contact_point_3,contact_point_2,attribute_3,product_6,comm_event_8,CLM,APPLY FOR LOAN,App Complete,custom_attr_5
10/17/2024,23:19,mob,bk-lending-cloe-fe-closing-58,auto_loan_app_approved,ASL,ACQPL,648,contact_point_8,contact_point_2,attribute_10,product_1,comm_event_1,PRC,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_7
10/17/2024,20:54,mob,bk-lending-cloe-fe-closing-59,cco_approve_edit_card,CRC,ACQPL,796,contact_point_6,contact_point_10,attribute_9,product_9,comm_event_9,DEC,APPLY FOR CONSUMER LOAN,App Complete,custom_attr_4
10/17/2024,15:20,and,bk-lending-cloe-fe-closing-60,cco_approve_edit_card,CSL,DEC,769,contact_point_7,contact_point_8,attribute_1,product_5,comm_event_6,PRC,APPLY FOR LOAN,App Complete,custom_attr_4
10/17/2024,5:34,iph,bk-lending-cloe-fe-closing-61,cco_approve_edit_card,CSL,DEC,685,contact_point_5,contact_point_4,attribute_1,product_7,comm_event_2,CLM,APPLY FOR LOAN,App Not Complete,custom_attr_2
10/17/2024,5:23,iph,bk-lending-cloe-fe-closing-62,cco_approve_edit_card,ASL,ACQ,658,contact_point_5,contact_point_5,attribute_3,product_7,comm_event_4,CLM,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_3
10/17/2024,0:04,iph,bk-card-cco-apply-63,auto_loan_app_approved,ASL,ACQPL,749,contact_point_2,contact_point_9,attribute_4,product_3,comm_event_3,PRC,APPLY FOR LOAN,App Not Complete,custom_attr_5
10/17/2024,18:04,and,bk-lending-cloe-fe-closing-64,cco_approve_edit_card,CSL,ACQPL,699,contact_point_7,contact_point_10,attribute_3,product_1,comm_event_6,PRC,APPLY FOR LOAN,App Complete,custom_attr_10
10/17/2024,13:20,and,bk-card-cco-apply-65,cco_approve_edit_card,ASL,ACQ,777,contact_point_5,contact_point_7,attribute_1,product_8,comm_event_6,PRC,APPLY FOR LOAN,App Not Complete,custom_attr_2
10/17/2024,22:55,www,bk-lending-cloe-fe-closing-66,cco_approve_edit_card,CRC,ACQ,777,contact_point_4,contact_point_4,attribute_6,product_4,comm_event_9,DEC,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_10
10/17/2024,14:49,mob,bk-auto-loan-app-67,cco_approve_edit_card,CSL,ACQ,639,contact_point_10,contact_point_1,attribute_1,product_10,comm_event_2,PRC,OPEN CREDIT CARD ACCOUNT,App Complete,custom_attr_8
10/17/2024,11:17,iph,bk-lending-cloe-fe-closing-68,pul_loan_app_post_bureau_decline,CRC,DEC,697,contact_point_6,contact_point_5,attribute_3,product_10,comm_event_8,DEC,APPLY FOR CONSUMER LOAN,App Complete,custom_attr_10
10/17/2024,21:51,mob,bk-lending-cloe-fe-closing-69,auto_loan_app_approved,CSL,ACQPL,799,contact_point_3,contact_point_10,attribute_10,product_10,comm_event_4,PRC,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_8
10/17/2024,22:05,mob,bk-card-cco-apply-70,auto_loan_app_approved,CSL,DEC,747,contact_point_2,contact_point_5,attribute_9,product_1,comm_event_1,CLM,OPEN CREDIT CARD ACCOUNT,App Complete,custom_attr_4
10/17/2024,19:48,mob,bk-lending-cloe-fe-closing-71,cco_approve_edit_card,CRC,DEC,795,contact_point_4,contact_point_4,attribute_4,product_6,comm_event_5,PRC,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_2
10/17/2024,23:27,mob,bk-lending-cloe-fe-closing-72,cco_approve_edit_card,CRC,ACQ,799,contact_point_7,contact_point_1,attribute_4,product_2,comm_event_10,PRC,APPLY FOR LOAN,App Not Complete,custom_attr_7
10/17/2024,1:17,mob,bk-auto-loan-app-73,cco_approve_edit_card,CRC,ACQ,683,contact_point_5,contact_point_2,attribute_8,product_4,comm_event_6,DEC,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_3
10/17/2024,1:20,mob,bk-auto-loan-app-74,pul_loan_app_post_bureau_decline,CRC,ACQ,789,contact_point_3,contact_point_9,attribute_8,product_5,comm_event_7,PRC,APPLY FOR LOAN,App Complete,custom_attr_4
10/17/2024,21:07,iph,bk-card-cco-apply-75,pul_loan_app_post_bureau_decline,CSL,ACQ,608,contact_point_9,contact_point_8,attribute_8,product_3,comm_event_3,DEC,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_3
10/17/2024,14:42,www,bk-card-cco-apply-76,pul_loan_app_post_bureau_decline,ASL,ACQ,748,contact_point_5,contact_point_4,attribute_4,product_2,comm_event_7,PRC,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_4
10/17/2024,19:04,iph,bk-auto-loan-app-77,pul_loan_app_post_bureau_decline,CSL,ACQPL,785,contact_point_7,contact_point_7,attribute_6,product_10,comm_event_6,DEC,APPLY FOR LOAN,App Complete,custom_attr_5
10/17/2024,20:22,and,bk-lending-cloe-fe-closing-78,auto_loan_app_approved,ASL,ACQ,792,contact_point_3,contact_point_1,attribute_4,product_9,comm_event_9,DEC,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_3
10/17/2024,3:36,and,bk-auto-loan-app-79,auto_loan_app_approved,CRC,ACQPL,722,contact_point_1,contact_point_10,attribute_1,product_6,comm_event_4,CLM,OPEN CREDIT CARD ACCOUNT,App Complete,custom_attr_8
10/17/2024,16:30,www,bk-card-cco-apply-80,cco_approve_edit_card,CSL,DEC,768,contact_point_9,contact_point_3,attribute_9,product_7,comm_event_9,DEC,APPLY FOR LOAN,App Complete,custom_attr_10
10/17/2024,1:10,and,bk-auto-loan-app-81,auto_loan_app_approved,ASL,ACQ,646,contact_point_7,contact_point_7,attribute_1,product_8,comm_event_5,DEC,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_3
10/17/2024,13:12,iph,bk-card-cco-apply-82,cco_approve_edit_card,ASL,ACQ,604,contact_point_7,contact_point_6,attribute_7,product_1,comm_event_9,CLM,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_3
10/17/2024,3:41,www,bk-card-cco-apply-83,auto_loan_app_approved,CRC,ACQ,671,contact_point_9,contact_point_10,attribute_3,product_8,comm_event_10,CLM,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_8
10/17/2024,8:03,and,bk-lending-cloe-fe-closing-84,pul_loan_app_post_bureau_decline,ASL,DEC,648,contact_point_9,contact_point_10,attribute_5,product_6,comm_event_1,PRC,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_8
10/17/2024,11:39,iph,bk-card-cco-apply-85,pul_loan_app_post_bureau_decline,ASL,DEC,622,contact_point_3,contact_point_8,attribute_8,product_1,comm_event_5,DEC,APPLY FOR LOAN,App Not Complete,custom_attr_4
10/17/2024,20:10,and,bk-card-cco-apply-86,cco_approve_edit_card,ASL,ACQ,650,contact_point_6,contact_point_8,attribute_2,product_6,comm_event_9,DEC,APPLY FOR CONSUMER LOAN,App Complete,custom_attr_3
10/17/2024,8:55,iph,bk-lending-cloe-fe-closing-87,cco_approve_edit_card,ASL,ACQ,728,contact_point_7,contact_point_7,attribute_10,product_2,comm_event_4,DEC,APPLY FOR LOAN,App Not Complete,custom_attr_2
10/17/2024,5:44,www,bk-lending-cloe-fe-closing-88,cco_approve_edit_card,CSL,ACQPL,646,contact_point_1,contact_point_6,attribute_1,product_4,comm_event_2,CLM,APPLY FOR LOAN,App Complete,custom_attr_5
10/17/2024,22:19,www,bk-auto-loan-app-89,pul_loan_app_post_bureau_decline,CSL,ACQPL,730,contact_point_9,contact_point_10,attribute_8,product_10,comm_event_10,PRC,APPLY FOR CONSUMER LOAN,App Complete,custom_attr_2
10/17/2024,2:02,www,bk-card-cco-apply-90,auto_loan_app_approved,ASL,ACQ,707,contact_point_10,contact_point_9,attribute_4,product_3,comm_event_1,CLM,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_8
10/17/2024,6:17,www,bk-auto-loan-app-91,cco_approve_edit_card,CRC,DEC,750,contact_point_4,contact_point_3,attribute_8,product_5,comm_event_2,PRC,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_6
10/17/2024,12:16,and,bk-lending-cloe-fe-closing-92,cco_approve_edit_card,CRC,ACQPL,777,contact_point_10,contact_point_3,attribute_10,product_8,comm_event_8,CLM,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_2
10/17/2024,16:58,mob,bk-auto-loan-app-93,cco_approve_edit_card,ASL,ACQPL,685,contact_point_7,contact_point_1,attribute_1,product_4,comm_event_9,DEC,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_10
10/17/2024,1:16,mob,bk-auto-loan-app-94,auto_loan_app_approved,CRC,DEC,738,contact_point_6,contact_point_8,attribute_3,product_5,comm_event_5,DEC,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_4
10/17/2024,4:20,iph,bk-auto-loan-app-95,auto_loan_app_approved,CRC,ACQPL,687,contact_point_6,contact_point_2,attribute_2,product_9,comm_event_6,PRC,APPLY FOR CONSUMER LOAN,App Complete,custom_attr_7
10/17/2024,12:30,and,bk-card-cco-apply-96,pul_loan_app_post_bureau_decline,CSL,DEC,769,contact_point_6,contact_point_1,attribute_6,product_9,comm_event_9,PRC,APPLY FOR CONSUMER LOAN,App Complete,custom_attr_6
10/17/2024,20:40,mob,bk-auto-loan-app-97,auto_loan_app_approved,ASL,ACQPL,661,contact_point_6,contact_point_9,attribute_4,product_9,comm_event_5,DEC,APPLY FOR LOAN,App Not Complete,custom_attr_2
10/17/2024,19:46,mob,bk-lending-cloe-fe-closing-98,cco_approve_edit_card,CSL,DEC,642,contact_point_1,contact_point_2,attribute_5,product_6,comm_event_5,DEC,APPLY FOR LOAN,App Not Complete,custom_attr_4
10/17/2024,10:21,mob,bk-auto-loan-app-99,cco_approve_edit_card,CSL,ACQ,664,contact_point_3,contact_point_10,attribute_9,product_2,comm_event_2,PRC,APPLY FOR LOAN,App Not Complete,custom_attr_7
10/17/2024,17:46,mob,bk-card-cco-apply-100,auto_loan_app_approved,CRC,DEC,768,contact_point_1,contact_point_4,attribute_6,product_8,comm_event_4,CLM,APPLY FOR LOAN,App Not Complete,custom_attr_7
10/17/2024,20:46,www,bk-auto-loan-app-101,cco_approve_edit_card,CRC,ACQPL,763,contact_point_1,contact_point_8,attribute_7,product_6,comm_event_7,DEC,APPLY FOR LOAN,App Complete,custom_attr_4
10/17/2024,19:42,mob,bk-card-cco-apply-102,cco_approve_edit_card,ASL,ACQPL,718,contact_point_6,contact_point_7,attribute_6,product_6,comm_event_5,DEC,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_9
10/17/2024,22:23,iph,bk-auto-loan-app-103,auto_loan_app_approved,CSL,ACQ,800,contact_point_3,contact_point_2,attribute_4,product_4,comm_event_5,CLM,APPLY FOR CONSUMER LOAN,App Complete,custom_attr_2
10/17/2024,20:06,mob,bk-card-cco-apply-104,pul_loan_app_post_bureau_decline,ASL,ACQPL,766,contact_point_9,contact_point_9,attribute_1,product_6,comm_event_9,CLM,APPLY FOR LOAN,App Not Complete,custom_attr_3
10/17/2024,17:40,www,bk-lending-cloe-fe-closing-105,auto_loan_app_approved,CSL,ACQ,669,contact_point_2,contact_point_7,attribute_2,product_5,comm_event_4,DEC,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_5
10/17/2024,23:47,iph,bk-card-cco-apply-106,auto_loan_app_approved,CRC,ACQPL,604,contact_point_4,contact_point_6,attribute_1,product_4,comm_event_3,PRC,APPLY FOR LOAN,App Not Complete,custom_attr_1
10/17/2024,3:49,and,bk-lending-cloe-fe-closing-107,cco_approve_edit_card,CRC,ACQ,789,contact_point_2,contact_point_4,attribute_4,product_8,comm_event_9,PRC,OPEN CREDIT CARD ACCOUNT,App Complete,custom_attr_4
10/17/2024,4:51,and,bk-auto-loan-app-108,pul_loan_app_post_bureau_decline,ASL,DEC,632,contact_point_7,contact_point_4,attribute_4,product_10,comm_event_7,DEC,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_2
10/17/2024,12:20,iph,bk-auto-loan-app-109,auto_loan_app_approved,ASL,ACQPL,782,contact_point_1,contact_point_3,attribute_1,product_10,comm_event_7,CLM,OPEN CREDIT CARD ACCOUNT,App Complete,custom_attr_4
10/17/2024,2:17,mob,bk-auto-loan-app-110,auto_loan_app_approved,CSL,ACQ,686,contact_point_10,contact_point_4,attribute_5,product_5,comm_event_2,PRC,APPLY FOR LOAN,App Not Complete,custom_attr_8
10/17/2024,10:56,iph,bk-card-cco-apply-111,pul_loan_app_post_bureau_decline,CRC,ACQPL,699,contact_point_6,contact_point_4,attribute_2,product_9,comm_event_7,PRC,APPLY FOR LOAN,App Complete,custom_attr_9
10/17/2024,23:48,www,bk-auto-loan-app-112,auto_loan_app_approved,CSL,ACQ,753,contact_point_7,contact_point_6,attribute_9,product_8,comm_event_4,PRC,OPEN CREDIT CARD ACCOUNT,App Complete,custom_attr_3
10/17/2024,16:01,mob,bk-auto-loan-app-113,pul_loan_app_post_bureau_decline,CRC,ACQ,656,contact_point_10,contact_point_3,attribute_2,product_2,comm_event_5,DEC,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_2
